Feature:,Collapse Group:,Notes:
oc_retina surgery (OS),Retinal detachment; acute inflammatory issue,
oc_retinal detachment surgery (OS) 5 yrs ago,Retinal detachment; acute inflammatory issue,
oc_Retinal occlusion (OD) - surgery 2011,Retinal Occlusion; acute inflammatory issue,"Distinct condition from retinal detachment -- a vascular blockage, not a structural detachment."
mh_rheumatic fever as child,Rheumatic fever; acute inflammatory issue; autoimmune issue,
mh_RA,Rheumatoid arthritis (RA); autoimmune issue; chronic inflammatory issue,"RA = rheumatoid arthritis, an autoimmune joint disease -- distinct from osteoarthritis (wear-and-tear); several rows are compound entries combining RA with other conditions"
mh_RA in hands,Rheumatoid arthritis (RA); autoimmune issue; chronic inflammatory issue,"RA = rheumatoid arthritis, an autoimmune joint disease -- distinct from osteoarthritis (wear-and-tear); several rows are compound entries combining RA with other conditions"
mh_Rheumatoid Arthritis,Rheumatoid arthritis (RA); autoimmune issue; chronic inflammatory issue,"RA = rheumatoid arthritis, an autoimmune joint disease -- distinct from osteoarthritis (wear-and-tear); several rows are compound entries combining RA with other conditions"
mh_Rheumatoid arthritis,Rheumatoid arthritis (RA); autoimmune issue; chronic inflammatory issue,"RA = rheumatoid arthritis, an autoimmune joint disease -- distinct from osteoarthritis (wear-and-tear); several rows are compound entries combining RA with other conditions"
mh_possible rheumatoid arthritis,Rheumatoid arthritis (RA); autoimmune issue; chronic inflammatory issue,"RA = rheumatoid arthritis, an autoimmune joint disease -- distinct from osteoarthritis (wear-and-tear); several rows are compound entries combining RA with other conditions"
mh_rhematoid arthritis,Rheumatoid arthritis (RA); autoimmune issue; chronic inflammatory issue,"RA = rheumatoid arthritis, an autoimmune joint disease -- distinct from osteoarthritis (wear-and-tear); several rows are compound entries combining RA with other conditions"
mh_rheumatiod arthritis,Rheumatoid arthritis (RA); autoimmune issue; chronic inflammatory issue,"RA = rheumatoid arthritis, an autoimmune joint disease -- distinct from osteoarthritis (wear-and-tear); several rows are compound entries combining RA with other conditions"
mh_rheumatoid arthritis,Rheumatoid arthritis (RA); autoimmune issue; chronic inflammatory issue,"RA = rheumatoid arthritis, an autoimmune joint disease -- distinct from osteoarthritis (wear-and-tear); several rows are compound entries combining RA with other conditions"
mh_ruptured bowel,Ruptured bowel; acute inflammatory issue,
mh_epilepsy,Seizure disorder / epilepsy; chronic inflammatory issue,Seizure-related diagnoses
mh_seizure,Seizure disorder / epilepsy; chronic inflammatory issue,Seizure-related diagnoses
mh_seizure disorder,Seizure disorder / epilepsy; chronic inflammatory issue,Seizure-related diagnoses
mh_seizures,Seizure disorder / epilepsy; chronic inflammatory issue,Seizure-related diagnoses
oc_sensitive to light,Sensitive To Light; chronic inflammatory issue,
mh_sepsis,Sepsis; acute inflammatory issue,
mh_septic shock,Sepsis; acute inflammatory issue,
mh_possible sepsis,Sepsis; acute inflammatory issue,
sex_bin,sex_bin,Binary sex indicator
mh_shortness of breath,Shortness of breath; general inflammation,Generic respiratory symptom/failure notes without a named diagnosis.
mh_sinusitis,Sinusitis; acute inflammatory issue,
mh_skin cancer,Skin Cancer; chronic inflammatory issue,
mh_Smoker,Smoking history; chronic inflammatory issue,
mh_Smoker (1 pack/day) for 35 years,Smoking history; chronic inflammatory issue,
mh_Smoker (1 pack/day) for 40 years,Smoking history; chronic inflammatory issue,
mh_Smoker (1 pack/day) for 48 years,Smoking history; chronic inflammatory issue,
mh_Smoker (1 pack/day) for 60 years,Smoking history; chronic inflammatory issue,
mh_Smoker (1 pack/day) quit 30 years ago,Smoking history; chronic inflammatory issue,
mh_Smoker (1 pack/day) since 18 years,Smoking history; chronic inflammatory issue,
mh_Smoker (1 pk/day; over 10 yrs),Smoking history; chronic inflammatory issue,
mh_Smoker (1.5 pack/day) for 50 years - quit 2006,Smoking history; chronic inflammatory issue,
mh_Smoker (1.5 packs/day) for 10-15 years,Smoking history; chronic inflammatory issue,
mh_Smoker (1pk/day; 25yrs),Smoking history; chronic inflammatory issue,
mh_Smoker (2 packs/day) for 30 years;HBP,Smoking history; chronic inflammatory issue,
mh_Smoker (4 cigarettes/day) for 50 years,Smoking history; chronic inflammatory issue,
mh_Smoker (? Amount; 20yrs),Smoking history; chronic inflammatory issue,
mh_Smoker (half pk/day; 35yr),Smoking history; chronic inflammatory issue,
mh_Smoker (unknown how much) for 50 years,Smoking history; chronic inflammatory issue,
mh_Smoker 1 pack/day for 50 years,Smoking history; chronic inflammatory issue,
mh_casual smoker for 1 yr,Smoking history; chronic inflammatory issue,
mh_heavy smoker,Smoking history; chronic inflammatory issue,
mh_light smoker,Smoking history; chronic inflammatory issue,
mh_light smoker (20yrs),Smoking history; chronic inflammatory issue,
mh_light smoker (35 yrs),Smoking history; chronic inflammatory issue,
mh_light smoker (unknown how much; quit 30 yrs ago),Smoking history; chronic inflammatory issue,
mh_occasional smoker,Smoking history; chronic inflammatory issue,
mh_pipe smoker (10yrs),Smoking history; chronic inflammatory issue,
mh_pipe smoker (during early 40s),Smoking history; chronic inflammatory issue,
mh_smoked 1.5 ppd age 15 until 1969,Smoking history; chronic inflammatory issue,
mh_smoked 2 ppd,Smoking history; chronic inflammatory issue,
mh_smoker,Smoking history; chronic inflammatory issue,
mh_smoker (0.5 cigarette/day; 53yrs),Smoking history; chronic inflammatory issue,
mh_smoker (0.5pk/day; on/off throughout life),Smoking history; chronic inflammatory issue,
mh_smoker (1 -1.5 pk/day; 55 yrs),Smoking history; chronic inflammatory issue,
mh_smoker (1 Pk/day; 25 yrs),Smoking history; chronic inflammatory issue,
mh_smoker (1 cigar/day; 20 yrs),Smoking history; chronic inflammatory issue,
mh_smoker (1 cigarette/day; 50 yrs),Smoking history; chronic inflammatory issue,
mh_smoker (1 cigarette/day;? Long),Smoking history; chronic inflammatory issue,
mh_smoker (1 pack/day; 40yr),Smoking history; chronic inflammatory issue,
mh_smoker (1 pack/day; 50 yr),Smoking history; chronic inflammatory issue,
mh_smoker (1 pk/day; 20 yrs),Smoking history; chronic inflammatory issue,
mh_smoker (1 pk/day; 20yrs),Smoking history; chronic inflammatory issue,
mh_smoker (1 pk/day; 30 yrs),Smoking history; chronic inflammatory issue,
mh_smoker (1 pk/day; 40 yrs),Smoking history; chronic inflammatory issue,
mh_smoker (1 pk/day; 40yrs),Smoking history; chronic inflammatory issue,
mh_smoker (1 pk/day; 45 yrs),Smoking history; chronic inflammatory issue,
mh_smoker (1 pk/day; 50 + yrs),Smoking history; chronic inflammatory issue,
mh_smoker (1 pk/day; 50 yrs),Smoking history; chronic inflammatory issue,
mh_smoker (1 pk/day; 50+ yr),Smoking history; chronic inflammatory issue,
mh_smoker (1 pk/day; 50+yrs),Smoking history; chronic inflammatory issue,
mh_smoker (1 pk/day; 50yrs),Smoking history; chronic inflammatory issue,
mh_smoker (1 pk/day; 55+ yrs),Smoking history; chronic inflammatory issue,
mh_smoker (1 pk/day; 55yrs),Smoking history; chronic inflammatory issue,
mh_smoker (1 pk/day; 60yrs),Smoking history; chronic inflammatory issue,
mh_smoker (1 pk/day; 70yrs),Smoking history; chronic inflammatory issue,
mh_smoker (1 pk/day; 75 yrs),Smoking history; chronic inflammatory issue,
mh_smoker (1+ pk/day; 30yrs),Smoking history; chronic inflammatory issue,
mh_smoker (1-1.5pk/day; 40yrs),Smoking history; chronic inflammatory issue,
mh_smoker (1-2 cigars/day; 23 yrs),Smoking history; chronic inflammatory issue,
mh_smoker (1-2pk/day; 30+yrs),Smoking history; chronic inflammatory issue,
mh_smoker (1-2pk/day; 50yrs),Smoking history; chronic inflammatory issue,
mh_smoker (1-2pk/day; 60years),Smoking history; chronic inflammatory issue,
mh_smoker (1-2pk/week; 60yrs),Smoking history; chronic inflammatory issue,
mh_smoker (1.5 pk/day; 30 yrs),Smoking history; chronic inflammatory issue,
mh_smoker (1.5pk/day; 45 yrs),Smoking history; chronic inflammatory issue,
mh_smoker (1pack/day; 25 yrs),Smoking history; chronic inflammatory issue,
mh_smoker (1pk/day+cigars+pipe; 30 yrs),Smoking history; chronic inflammatory issue,
mh_smoker (1pk/day; 10yrs),Smoking history; chronic inflammatory issue,
mh_smoker (1pk/day; 12yrs),Smoking history; chronic inflammatory issue,
mh_smoker (1pk/day; 20 years),Smoking history; chronic inflammatory issue,
mh_smoker (1pk/day; 20 yrs),Smoking history; chronic inflammatory issue,
mh_smoker (1pk/day; 20yrs),Smoking history; chronic inflammatory issue,
mh_smoker (1pk/day; 25 yrs),Smoking history; chronic inflammatory issue,
mh_smoker (1pk/day; 30 yrs),Smoking history; chronic inflammatory issue,
mh_smoker (1pk/day; 30+ yrs),Smoking history; chronic inflammatory issue,
mh_smoker (1pk/day; 30yrs),Smoking history; chronic inflammatory issue,
mh_smoker (1pk/day; 40yrs),Smoking history; chronic inflammatory issue,
mh_smoker (1pk/day; 45yr),Smoking history; chronic inflammatory issue,
mh_smoker (1pk/day; 50+yrs),Smoking history; chronic inflammatory issue,
mh_smoker (1pk/day; 50yrs),Smoking history; chronic inflammatory issue,
mh_smoker (1pk/day; 55 yrs),Smoking history; chronic inflammatory issue,
mh_smoker (1pk/day; 60 yrs),Smoking history; chronic inflammatory issue,
mh_smoker (1pk/day; 60yrs),Smoking history; chronic inflammatory issue,
mh_smoker (1pk/day; 70 yrs),Smoking history; chronic inflammatory issue,
mh_smoker (1pk/week; 60 yrs),Smoking history; chronic inflammatory issue,
mh_smoker (2 packs/day; 30 yrs),Smoking history; chronic inflammatory issue,
mh_smoker (2 pk/day; 20 yr),Smoking history; chronic inflammatory issue,
mh_smoker (2-3 cigarettes/day; 50 yrs),Smoking history; chronic inflammatory issue,
mh_smoker (2-3pk/day + cigars; 23 yrs; quit 30yrs ago),Smoking history; chronic inflammatory issue,
mh_smoker (20yrs),Smoking history; chronic inflammatory issue,
mh_smoker (2pk/day),Smoking history; chronic inflammatory issue,
mh_smoker (2pk/day; 20 years),Smoking history; chronic inflammatory issue,
mh_smoker (2pk/day; 30 yrs),Smoking history; chronic inflammatory issue,
mh_smoker (2pk/day; 45 yrs),Smoking history; chronic inflammatory issue,
mh_smoker (3 cigarettes/day; 50 yr),Smoking history; chronic inflammatory issue,
mh_smoker (3 cigars/week; 70 yrs),Smoking history; chronic inflammatory issue,
mh_smoker (3/4pk/day; 30yr),Smoking history; chronic inflammatory issue,
mh_smoker (3pk/day for 56 yrs),Smoking history; chronic inflammatory issue,
mh_smoker (3pk/day; quit 50 yrs ago),Smoking history; chronic inflammatory issue,
mh_smoker (3pk/wk; 40yrs),Smoking history; chronic inflammatory issue,
mh_smoker (? Amount; 1 yr as teenager),Smoking history; chronic inflammatory issue,
mh_smoker (? Amount; 15yrs),Smoking history; chronic inflammatory issue,
mh_smoker (? Amount; 20 yrs),Smoking history; chronic inflammatory issue,
mh_smoker (? Amount; 35 yrs),Smoking history; chronic inflammatory issue,
mh_smoker (? Amount; 3yrs when in service),Smoking history; chronic inflammatory issue,
mh_smoker (? Amount; 50yrs),Smoking history; chronic inflammatory issue,
mh_smoker (? Amount; quit during 1970s),Smoking history; chronic inflammatory issue,
mh_smoker (? Pk/day; ? Yrs),Smoking history; chronic inflammatory issue,
mh_smoker (?amount; 45yrs),Smoking history; chronic inflammatory issue,
mh_smoker (?amount; quit 35 yrs ago),Smoking history; chronic inflammatory issue,
mh_smoker (cigars; ? Amount; 20yrs),Smoking history; chronic inflammatory issue,
mh_smoker (during his 30s),Smoking history; chronic inflammatory issue,
mh_smoker (half pack/day; 10 yrs),Smoking history; chronic inflammatory issue,
mh_smoker (half pack/day; 20 yr),Smoking history; chronic inflammatory issue,
mh_smoker (half pack/day; 20 yrs),Smoking history; chronic inflammatory issue,
mh_smoker (half pk/day; 10 yrs),Smoking history; chronic inflammatory issue,
mh_smoker (half pk/day; 10yrs),Smoking history; chronic inflammatory issue,
mh_smoker (half pk/day; 2 yrs),Smoking history; chronic inflammatory issue,
mh_smoker (half pk/day; 20 yr),Smoking history; chronic inflammatory issue,
mh_smoker (half pk/day; 20 yrs),Smoking history; chronic inflammatory issue,
mh_smoker (half pk/day; 20yrs),Smoking history; chronic inflammatory issue,
mh_smoker (half pk/day; 28 yrs),Smoking history; chronic inflammatory issue,
mh_smoker (half pk/day; 30yrs),Smoking history; chronic inflammatory issue,
mh_smoker (half pk/day; 40yrs),Smoking history; chronic inflammatory issue,
mh_smoker (half pk/day; 48yrs),Smoking history; chronic inflammatory issue,
mh_smoker (half pk/day; 50 yrs),Smoking history; chronic inflammatory issue,
mh_smoker (half pk/day; 50+ yrs),Smoking history; chronic inflammatory issue,
mh_smoker (half pk/day; 64 yrs),Smoking history; chronic inflammatory issue,
mh_smoker (half pk/day; during 20s),Smoking history; chronic inflammatory issue,
mh_smoker (pipe for few yrs until 20 yo),Smoking history; chronic inflammatory issue,
mh_smoker (pipe; 15yr),Smoking history; chronic inflammatory issue,
mh_smoker (pipe; 30yrs),Smoking history; chronic inflammatory issue,
mh_smoker (unknown amount for 15 yrs; quit 1959),Smoking history; chronic inflammatory issue,
mh_smoker (unknown amount; 60yrs),Smoking history; chronic inflammatory issue,
mh_smoker (unknown amount; during 20s and 30s),Smoking history; chronic inflammatory issue,
mh_smoker (unknown how much; 20 yrs),Smoking history; chronic inflammatory issue,
mh_smoker (unknown how much; quit 40 yrs ago),Smoking history; chronic inflammatory issue,
mh_smoker (very little for a couple years),Smoking history; chronic inflammatory issue,
mh_smoker 1 pack /day for 40 years,Smoking history; chronic inflammatory issue,
mh_smoker 40yrs,Smoking history; chronic inflammatory issue,
mh_smoking,Smoking history; chronic inflammatory issue,
mh_social smoker (1-2 cigarettes/day from 1950s-60s),Smoking history; chronic inflammatory issue,
mh_social smoker (? How much; 30 yrs),Smoking history; chronic inflammatory issue,
mh_social smoker for 30yrs,Smoking history; chronic inflammatory issue,
mh_smoker (1pk/day; 25yrs); A. Fib; heart disease; high cholesterol; Parkinson's; dementia),Smoking history; Atrial fibrillation (A Fib); Heart disease; High cholesterol / hyperlipidemia; Parkinson's disease; Dementia; chronic inflammatory issue,
mh_smoker (casual; 2 yrs); CHF; A. Fib; pleural effusion),Smoking history; Congestive heart failure (CHF); Atrial fibrillation (A Fib); Pleural effusion; chronic inflammatory issue,
mh_smoker (1pk/day; 50yrs); heart disease; HBP; high cholesterol),Smoking history; Heart disease; Hypertension (HTN); High cholesterol / hyperlipidemia; chronic inflammatory issue,
mh_smoker (?amount; during early 20s); hyperlipidemia; HTn; osteoarthritis),Smoking history; High cholesterol / hyperlipidemia; Hypertension (HTN); Osteoarthritis (OA/DJD); chronic inflammatory issue,
mh_1/2 pack day for 60 yrs; HBP,Smoking history; Hypertension (HTN); chronic inflammatory issue,
mh_smoker; quit 30 years ago; HTN,Smoking history; Hypertension (HTN); chronic inflammatory issue,
mh_smoker (1pk/day; 50yrs); HTN; alcoholic),Smoking history; Hypertension (HTN); Alcohol abuse; chronic inflammatory issue,
mh_spinal cancer,Spinal Cancer; chronic inflammatory issue,
mh_scoliosis,Spinal disorders; chronic inflammatory issue,
mh_spinal stenosis,Spinal disorders; chronic inflammatory issue,
mh_staph infx. In blood,Staph Infection in blood; acute inflammatory issue,
mh_stomach cancer (surgery 25+ ys ago),Stomach Cancer; chronic inflammatory issue,
mh_CVA,Stroke (CVA); acute inflammatory issue,CVA = cerebrovascular accident = stroke
mh_Cerebrovascular accident,Stroke (CVA); acute inflammatory issue,CVA = cerebrovascular accident = stroke
mh_stroke,Stroke (CVA); acute inflammatory issue,CVA = cerebrovascular accident = stroke
mh_stroke (1989),Stroke (CVA); acute inflammatory issue,CVA = cerebrovascular accident = stroke
mh_carotid surgery,Stroke (CVA); acute inflammatory issue,"Vascular surgery, typically related to stroke risk -- consider whether to fold into vascular surgery group below."
mh_thrombocytopenia,Thrombocytopenia; chronic inflammatory issue,"Grouped lab-abnormality mentions -- these are distinct from each other clinically (low platelets vs. high/low white cells vs. clotting vs. blood in urine); flagged together only because each is a single-row rarity, not because they are the same condition. Consider keeping fully separate if any survive feature selection."
mh_Thyroid Cancer,Thyroid Cancer; chronic inflammatory issue,"Thyroid-related but distinct from hypothyroidism (inflammation/surgery/cancer, not underactive function)."
mh_thyroidectomy,Thyroidectomy; acute inflammatory issue,"Thyroid-related but distinct from hypothyroidism (inflammation/surgery/cancer, not underactive function)."
mh_thyroiditis,Thyroiditis; autoimmune issue; chronic inflammatory issue,"Thyroid-related but distinct from hypothyroidism (inflammation/surgery/cancer, not underactive function)."
mh_TIA,TIA (mini-stroke); acute inflammatory issue,"TIA = transient ischemic attack, a temporary stroke-like event distinct from a full stroke -- keep separate from CVA unless clinically justified to merge"
mh_transient ischemic attack (2012),TIA (mini-stroke); acute inflammatory issue,"TIA = transient ischemic attack, a temporary stroke-like event distinct from a full stroke -- keep separate from CVA unless clinically justified to merge"
mh_s/p tonsillectomy,Tonsillectomy; acute inflammatory issue,"s/p = ""status post,"" i.e. after/following."
mh_TBI,Traumatic brain injury (TBI); acute inflammatory issue,TBI = traumatic brain injury
mh_Trauma to head from fall,Traumatic brain injury (TBI); acute inflammatory issue,TBI = traumatic brain injury
mh_head trauma,Traumatic brain injury (TBI); acute inflammatory issue,TBI = traumatic brain injury
mh_UTI,Urinary tract infection (UTI); acute inflammatory issue,
mh_UTI last week,Urinary tract infection (UTI); acute inflammatory issue,
mh_urinary tract infection,Urinary tract infection (UTI); acute inflammatory issue,
mh_Mitral valve prolapse (repaired),Valvular heart disease; acute inflammatory issue,Heart valve disease/replacement
mh_heart valve replacement,Valvular heart disease; acute inflammatory issue,Heart valve disease/replacement
mh_valve replacement,Valvular heart disease; acute inflammatory issue,Heart valve disease/replacement
mh_valvular disease,Valvular heart disease,Heart valve disease/replacement
mh_valvular heart disease,Valvular heart disease,Heart valve disease/replacement
mh_valve disease due to rheumatic fever as child,Valvular heart disease; Rheumatic fever; acute inflammatory issue; autoimmune issue,Heart valve disease/replacement.
mh_vascualr surgery,Vascular Surgery; acute inflammatory issue,"""mh_vascualr surgery"" looks like a typo for ""vascular surgery""."
mh_vasculitis,Vasculitis; autoimmune issue; chronic inflammatory issue,
mh_Vertigo,Vertigo,Balance/dizziness disorder.
oc_hemorrhage in the back of the eyes,Vitreous hemorrhage; acute inflammatory issue,
oc_vitreous hemorrhage,Vitreous hemorrhage; acute inflammatory issue,
oc_Glasses only recently,Wears corrective glasses,
oc_Wore reading glasses,Wears corrective glasses,
oc_glasses,Wears corrective glasses,
Y402H_CC,Y402H_CC,"AMD-associated genotype (CFH gene, Y402H SNP). CC/CT/TT are the three genotype states "
Y402H_CT,Y402H_CT,"AMD-associated genotype (CFH gene, Y402H SNP). CC/CT/TT are the three genotype states "
Y402H_TT,Y402H_TT,"AMD-associated genotype (CFH gene, Y402H SNP). CC/CT/TT are the three genotype states "
