Feature:,Flag:,Collapse Group:,Notes:
mh_smoker (1 -1.5 pk/day; 55 yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (1 Pk/day; 25 yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (1 cigar/day; 20 yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (1 cigarette/day; 50 yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (1 cigarette/day;? Long),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (1 pack/day; 40yr),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (1 pack/day; 50 yr),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (1 pk/day; 20 yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (1 pk/day; 20yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (1 pk/day; 30 yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (1 pk/day; 40 yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (1 pk/day; 40yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (1 pk/day; 45 yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (1 pk/day; 50 + yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (1 pk/day; 50 yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (1 pk/day; 50+ yr),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (1 pk/day; 50+yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (1 pk/day; 50yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (1 pk/day; 55+ yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (1 pk/day; 55yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (1 pk/day; 60yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (1 pk/day; 70yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (1 pk/day; 75 yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (1+ pk/day; 30yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (1-1.5pk/day; 40yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (1-2 cigars/day; 23 yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (1-2pk/day; 30+yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (1-2pk/day; 50yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (1-2pk/day; 60years),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (1-2pk/week; 60yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (1.5 pk/day; 30 yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (1.5pk/day; 45 yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (1pack/day; 25 yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (1pk/day+cigars+pipe; 30 yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (1pk/day; 10yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (1pk/day; 12yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (1pk/day; 20 years),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (1pk/day; 20 yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (1pk/day; 20yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (1pk/day; 25 yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (1pk/day; 30 yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (1pk/day; 30+ yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (1pk/day; 30yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (1pk/day; 40yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (1pk/day; 45yr),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (1pk/day; 50+yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (1pk/day; 50yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (1pk/day; 55 yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (1pk/day; 60 yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (1pk/day; 60yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (1pk/day; 70 yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (1pk/week; 60 yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (2 packs/day; 30 yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (2 pk/day; 20 yr),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (2-3 cigarettes/day; 50 yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (2-3pk/day + cigars; 23 yrs; quit 30yrs ago),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (20yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (2pk/day),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (2pk/day; 20 years),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (2pk/day; 30 yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (2pk/day; 45 yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (3 cigarettes/day; 50 yr),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (3 cigars/week; 70 yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (3/4pk/day; 30yr),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (3pk/day for 56 yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (3pk/day; quit 50 yrs ago),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (3pk/wk; 40yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (? Amount; 1 yr as teenager),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (? Amount; 15yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (? Amount; 20 yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (? Amount; 35 yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (? Amount; 3yrs when in service),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (? Amount; 50yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (? Amount; quit during 1970s),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (? Pk/day; ? Yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (?amount; 45yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (?amount; quit 35 yrs ago),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (cigars; ? Amount; 20yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (during his 30s),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (half pack/day; 10 yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (half pack/day; 20 yr),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (half pack/day; 20 yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (half pk/day; 10 yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (half pk/day; 10yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (half pk/day; 2 yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (half pk/day; 20 yr),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (half pk/day; 20 yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (half pk/day; 20yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (half pk/day; 28 yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (half pk/day; 30yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (half pk/day; 40yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (half pk/day; 48yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (half pk/day; 50 yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
mh_smoker (half pk/day; 50+ yrs),MH: Smoking history,"Smoking history (ever smoked, any amount/type)","Several rows are compound entries appending other conditions (e.g. ""smoker (1pk/day;25yrs); A. Fib; heart disease..."" or ""1/2 pack day for 60 yrs; HBP"") that will need to be split during cleanup so those extra conditions aren't lost"
